name,price,image,url,crawl_date
"Ốp cửa sau, màu Xanh biển",1.445.040,https://danang.toyota.com.vn/uploads/others/op-cua-sau-mau-xanh-bien-1728370134.jpg,https://danang.toyota.com.vn/uploads/others/op-cua-sau-mau-xanh-bien-1728370134.jpg,2026-05-14 09:26:14
Chụp ống xả (PZ056-0D007),313.500,https://danang.toyota.com.vn/uploads/others/chup-ong-xa-pz056-0d007-1728370167.jpg,https://danang.toyota.com.vn/uploads/others/chup-ong-xa-pz056-0d007-1728370167.jpg,2026-05-14 09:26:14
Bộ chén cửa - Vân Caro,332.640,https://danang.toyota.com.vn/uploads/others/bo-chen-cua-van-caro-1728370192.jpg,https://danang.toyota.com.vn/uploads/others/bo-chen-cua-van-caro-1728370192.jpg,2026-05-14 09:26:14
Bộ chén cửa - Vân Cacbon,350.784,https://danang.toyota.com.vn/uploads/others/bo-chen-cua-van-cacbon-1728370209.jpg,https://danang.toyota.com.vn/uploads/others/bo-chen-cua-van-cacbon-1728370209.jpg,2026-05-14 09:26:14
Vè che mưa (PC162-0D006),1.171.800,https://danang.toyota.com.vn/uploads/others/ve-che-mua-pc162-0d006-1728370250.jpg,https://danang.toyota.com.vn/uploads/others/ve-che-mua-pc162-0d006-1728370250.jpg,2026-05-14 09:26:14
Ốp viền cua bánh,1.314.576,https://danang.toyota.com.vn/uploads/others/op-vien-cua-banh-1728370275.jpg,https://danang.toyota.com.vn/uploads/others/op-vien-cua-banh-1728370275.jpg,2026-05-14 09:26:14
Ốp trang trí nóc xe,2.319.840,https://danang.toyota.com.vn/uploads/others/op-trang-tri-noc-xe-1728370300.jpg,https://danang.toyota.com.vn/uploads/others/op-trang-tri-noc-xe-1728370300.jpg,2026-05-14 09:26:14
Ốp hướng gió cản sau,1.978.128,https://danang.toyota.com.vn/uploads/others/op-huong-gio-can-sau-1728370328.jpg,https://danang.toyota.com.vn/uploads/others/op-huong-gio-can-sau-1728370328.jpg,2026-05-14 09:26:16
Ốp trang trí phía dưới cản sau,1.753.920,https://danang.toyota.com.vn/uploads/others/op-trang-tri-phia-duoi-can-sau-1728370364.jpg,https://danang.toyota.com.vn/uploads/others/op-trang-tri-phia-duoi-can-sau-1728370364.jpg,2026-05-14 09:26:16
Ốp trang trí sườn xe (Màu đen sần),841.968,https://danang.toyota.com.vn/uploads/others/op-trang-tri-suon-xe-mau-den-san-1728370390.jpg,https://danang.toyota.com.vn/uploads/others/op-trang-tri-suon-xe-mau-den-san-1728370390.jpg,2026-05-14 09:26:16
Bộ chén cửa mạ Chrome,897.480,https://danang.toyota.com.vn/uploads/others/bo-chen-cua-ma-chrome-1728370412.jpg,https://danang.toyota.com.vn/uploads/others/bo-chen-cua-ma-chrome-1728370412.jpg,2026-05-14 09:26:16
Bộ ốp tay cửa mạ Chrome,1.657.800,https://danang.toyota.com.vn/uploads/others/bo-op-tay-cua-ma-chrome-1728370433.png,https://danang.toyota.com.vn/uploads/others/bo-op-tay-cua-ma-chrome-1728370433.png,2026-05-14 09:26:16
Tấm nhựa bảo vệ hốc bánh (4 chiếc/ Bộ),2.503.440,https://danang.toyota.com.vn/uploads/others/tam-nhua-bao-ve-hoc-banh-4-chiec-bo-1728370463.jpg,https://danang.toyota.com.vn/uploads/others/tam-nhua-bao-ve-hoc-banh-4-chiec-bo-1728370463.jpg,2026-05-14 09:26:16
Chụp ống xả (PC413-0K001),427.900,https://danang.toyota.com.vn/uploads/others/chup-ong-xa-pc413-0k001-1728370511.jpg,https://danang.toyota.com.vn/uploads/others/chup-ong-xa-pc413-0k001-1728370511.jpg,2026-05-14 09:26:16
Ốp trang trí tai xe mạ Crôm (2 chiếc/ Bộ),459.360,https://danang.toyota.com.vn/uploads/others/op-trang-tri-tai-xe-ma-crom-2-chiec-bo-1728370537.jpg,https://danang.toyota.com.vn/uploads/others/op-trang-tri-tai-xe-ma-crom-2-chiec-bo-1728370537.jpg,2026-05-14 09:26:16
Ốp trang trí nóc xe (2 chiếc/ Bộ),3.621.240,https://danang.toyota.com.vn/uploads/others/op-trang-tri-noc-xe-2-chiec-bo-1728370561.jpg,https://danang.toyota.com.vn/uploads/others/op-trang-tri-noc-xe-2-chiec-bo-1728370561.jpg,2026-05-14 09:26:16
Vè che mưa (4 chiếc/ Bộ),1.401.840,https://danang.toyota.com.vn/uploads/others/ve-che-mua-4-chiec-bo-1728370600.jpg,https://danang.toyota.com.vn/uploads/others/ve-che-mua-4-chiec-bo-1728370600.jpg,2026-05-14 09:26:16
Ốp trang trí nắp Ca-pô mạ Crôm (2 chiếc/ Bộ) (PC401-0K001),388.800,https://danang.toyota.com.vn/uploads/others/op-trang-tri-nap-ca-po-ma-crom-2-chiec-bo-1728370623.jpg,https://danang.toyota.com.vn/uploads/others/op-trang-tri-nap-ca-po-ma-crom-2-chiec-bo-1728370623.jpg,2026-05-14 09:26:16
Ốp sườn xe (màu Đỏ) (2 bên),5.905.440,https://danang.toyota.com.vn/uploads/others/op-suon-xe-mau-do-2-ben-1728370641.jpg,https://danang.toyota.com.vn/uploads/others/op-suon-xe-mau-do-2-ben-1728370641.jpg,2026-05-14 09:26:16
Ốp sườn xe (màu Bạc) (2 bên),5.905.440,https://danang.toyota.com.vn/uploads/others/op-suon-xe-mau-bac-2-ben-1728370663.jpg,https://danang.toyota.com.vn/uploads/others/op-suon-xe-mau-bac-2-ben-1728370663.jpg,2026-05-14 09:26:17
Ốp viền cua bánh (màu Bạc) (4 chiếc/ Bộ),3.540.672,https://danang.toyota.com.vn/uploads/others/op-vien-cua-banh-mau-bac-4-chiec-bo-1728370712.jpg,https://danang.toyota.com.vn/uploads/others/op-vien-cua-banh-mau-bac-4-chiec-bo-1728370712.jpg,2026-05-14 09:26:17
Ốp viền cua bánh (màu Đỏ) (4 chiếc/ Bộ),5.901.120,https://danang.toyota.com.vn/uploads/others/op-vien-cua-banh-mau-do-4-chiec-bo-1728370735.jpg,https://danang.toyota.com.vn/uploads/others/op-vien-cua-banh-mau-do-4-chiec-bo-1728370735.jpg,2026-05-14 09:26:17
Viền trang trí đèn pha mạ Crôm (HAL) (2 chiếc/ Bộ),1.715.040,https://danang.toyota.com.vn/uploads/others/vien-trang-tri-den-pha-ma-crom-hal-2-chiec-bo-1728370755.jpg,https://danang.toyota.com.vn/uploads/others/vien-trang-tri-den-pha-ma-crom-hal-2-chiec-bo-1728370755.jpg,2026-05-14 09:26:17
Viền đèn sương mù mạ Crôm (2 chiếc/ Bộ),2.365.200,https://danang.toyota.com.vn/uploads/others/vien-den-suong-mu-ma-crom-2-chiec-bo-1728370776.jpg,https://danang.toyota.com.vn/uploads/others/vien-den-suong-mu-ma-crom-2-chiec-bo-1728370776.jpg,2026-05-14 09:26:17
Ốp lưới tản nhiệt đầu xe mạ Crôm,2.503.440,https://danang.toyota.com.vn/uploads/others/op-luoi-tan-nhiet-dau-xe-ma-crom-1728370796.jpg,https://danang.toyota.com.vn/uploads/others/op-luoi-tan-nhiet-dau-xe-ma-crom-1728370796.jpg,2026-05-14 09:26:17
Ốp trang trí phía dưới cản trước (màu Bạc),8.857.080,https://danang.toyota.com.vn/uploads/others/op-trang-tri-phia-duoi-can-truoc-mau-bac-1728370842.jpg,https://danang.toyota.com.vn/uploads/others/op-trang-tri-phia-duoi-can-truoc-mau-bac-1728370842.jpg,2026-05-14 09:26:17
